Line num,12053
packages num,2,6
files num,13,49
Average Line num per featured file,421,3369
,11
src,7860
src/algo,1306
src/protector,9
src/tui,2283
src/util,584
Filename, #,Concurrent Type, Line number , Number
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader.go,29,Mutex Lock(),167,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader.go,28,Mutex Unlock(),168,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader.go,29,Mutex Lock(),181,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader.go,28,Mutex Unlock(),191,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader.go,28,Mutex Unlock(),195,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache_test.go,27,Mutex,6,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,29,Mutex Lock(),56,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,28,Mutex Unlock(),63,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,29,Mutex Lock(),69,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,28,Mutex Unlock(),71,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,29,Mutex Lock(),76,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist.go,28,Mutex Unlock(),87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/chunklist_test.go,27,Mutex,14,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,29,Mutex Lock(),25,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,28,Mutex Unlock(),26,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,29,Mutex Lock(),42,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,28,Mutex Unlock(),43,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,29,Mutex Lock(),60,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/cache.go,28,Mutex Unlock(),61,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal_unix.go,21,Send only chan (chan<-),11,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal_unix.go,21,Send only chan (chan<-),19,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/pattern.go,27,Mutex,67,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/reader_test.go,27,Mutex,13,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,9,Unknown chan length,154,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,9,Unknown chan length,155,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,30,Waitgroup,156,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,5,Go in for,163,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,24,Waitgroup Add(const),159,&{4568476 INT 1} val is : 1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,1,Goroutine,163,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,26,Waitgroup Done(),164,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,3,Send,174,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,3,Send,187,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,31,Waitgroup Wait(),193,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,6,Range over chan,199,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/matcher.go,2,Receive,218,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,27,Mutex,87,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,27,Mutex,139,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,1,Goroutine,144,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,27,Mutex,177,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,1,Goroutine,215,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,27,Mutex,218,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,1,Goroutine,220,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,3,Send,222,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,1,Goroutine,237,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,3,Send,316,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/core.go,3,Send,334,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,8,Known chan length (length),534,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,4,Synchronous chan,535,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,27,Mutex,475,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),587,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),588,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),594,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),598,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),616,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),618,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),624,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),628,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),637,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),643,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,27,Mutex,1741,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,17,Select with default (number of branch),1852,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,1853,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,1868,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,8,Known chan length (length),1870,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1872,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,6,Range over chan,1873,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,8,Known chan length (length),1881,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1883,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,1885,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,8,Known chan length (length),1890,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1892,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,1894,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),1899,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),1906,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1907,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,1909,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1914,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),1916,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),1918,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1928,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,27,Mutex,1952,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,4,Synchronous chan,1969,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,8,Known chan length (length),1970,1
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,4,Synchronous chan,1973,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,4,Synchronous chan,1974,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1976,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,1979,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,1984,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,1989,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,16,Select (number of branch),1997,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,1998,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2008,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,2029,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,2033,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,16,Select (number of branch),2037,3
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2038,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2040,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,16,Select (number of branch),2052,2
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2053,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2055,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2060,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,2065,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2068,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,3,Send,2070,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2071,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,2,Receive,2072,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,1,Goroutine,2094,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2106,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),2112,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2187,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,29,Mutex Lock(),2203,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2253,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2279,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,27,Mutex,2581,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2587,
/Users/nicolasdilley/go/src/github.com/nicolasdilley/gocurrency_tool/projects-gocurrency/junegunn++fzf/src/terminal.go,28,Mutex Unlock(),2717,
